Suburb,Address,Rooms,Type,Method,SellerG,Date,Distance,Postcode,Bedroom,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longtitude,Regionname,Propertycount,ParkingArea,Price
Abbotsford,68 Studley St,2,h,SS,Jellis,3/9/2016,2.5,3067,2,1,1,126,inf,,Yarra City Council,-37.8014,144.9958,Northern Metropolitan,4019,Carport,
Airport West,154 Halsey Rd,3,t,PI,Nelson,3/9/2016,13.5,3042,3,2,1,303,225,2016,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464,Detached Garage,840000
Albert Park,105 Kerferd Rd,2,h,S,hockingstuart,3/9/2016,3.3,3206,2,1,0,120,82,1900,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280,Attached Garage,1275000
Albert Park,85 Richardson St,2,h,S,Thomson,3/9/2016,3.3,3206,2,1,0,159,inf,,Port Phillip City Council,-37.845,144.9538,Southern Metropolitan,3280,Indoor,1455000
Alphington,30 Austin St,3,h,SN,McGrath,3/9/2016,6.4,3078,3,2,1,174,122,2003,Darebin City Council,-37.7818,145.0198,Northern Metropolitan,2211,Parkade,
Alphington,6 Smith St,4,h,S,Brace,3/9/2016,6.4,3078,3,2,4,853,263,1930,Darebin City Council,-37.7707,145.0318,Northern Metropolitan,2211,Underground,2000000
Alphington,5/6 Yarralea St,3,h,S,Jellis,3/9/2016,6.4,3078,3,2,2,208,inf,2013,Darebin City Council,-37.7854,145.0325,Northern Metropolitan,2211,Outdoor Stall,1110000
Altona,158 Queen St,3,h,VB,Greg,3/9/2016,13.8,3018,3,2,1,352,242,2015,Hobsons Bay City Council,-37.87,144.825,Western Metropolitan,5301,Parking Pad,520000
Altona North,1 Beuron Rd,3,h,SP,Williams,3/9/2016,11.1,3025,3,1,1,620,108,1950,Hobsons Bay City Council,-37.829,144.848,Western Metropolitan,5132,Carport,
Altona North,45 Hearn St,5,h,S,FN,3/9/2016,11.1,3025,5,3,6,592,251,1965,Hobsons Bay City Council,-37.8388,144.8567,Western Metropolitan,5132,Detached Garage,1085000
Altona North,4 Knapp St,3,h,S,Jas,3/9/2016,11.1,3025,3,1,2,533,117,1970,Hobsons Bay City Council,-37.8291,144.835,Western Metropolitan,5132,Attached Garage,781000
Altona North,103 Sixth Av,4,h,S,hockingstuart,3/9/2016,11.1,3025,,,,,missing,,Hobsons Bay City Council,,,Western Metropolitan,5132,Indoor,857500
Armadale,24 Hume St,3,h,S,RT,3/9/2016,6.3,3143,2,1,1,305,missing,,Stonnington City Council,-37.8573,145.0226,Southern Metropolitan,4836,Parkade,
Armadale,8/19 Mercer Rd,2,u,S,Jellis,3/9/2016,6.3,3143,2,1,1,0,76,1964,Stonnington City Council,-37.8543,145.0262,Southern Metropolitan,4836,Underground,599000
Ascot Vale,24 Ayr St,3,h,S,Jellis,3/9/2016,5.9,3032,3,1,2,305,135,1910,Moonee Valley City Council,-37.7799,144.9296,Western Metropolitan,6567,Carport,
Ascot Vale,2/43 Roxburgh St,2,u,S,Nelson,3/9/2016,5.9,3032,3,1,2,0,missing,,Moonee Valley City Council,-37.7756,144.9165,Western Metropolitan,6567,Detached Garage,455000
